network_ip,ip_address,subnet_mask,hostname,status,planned_chain
10.124.112.0,10.124.112.0,255.255.255.240,,network_ip,
10.124.112.0,10.124.112.1,255.255.255.240,,gateway,
10.124.112.0,10.124.112.2,255.255.255.240,RAG_SCHQ01C_9K,used,
10.124.112.0,10.124.112.3,255.255.255.240,RAG_SCT201C_9K,used,
10.124.112.0,10.124.112.4,255.255.255.240,RAC_SCT2P21C,used,
10.124.112.0,10.124.112.5,255.255.255.240,RAC_SCT1P21C,used,
10.124.112.0,10.124.112.6,255.255.255.240,RAC_SCT2P23C,used,
10.124.112.0,10.124.112.7,255.255.255.240,RAC_ATTCM22C,used,
10.124.112.0,10.124.112.8,255.255.255.240,,,
10.124.112.0,10.124.112.9,255.255.255.240,,,
10.124.112.0,10.124.112.10,255.255.255.240,,,
10.124.112.0,10.124.112.11,255.255.255.240,,,
10.124.112.0,10.124.112.12,255.255.255.240,,,
10.124.112.0,10.124.112.13,255.255.255.240,,,
10.124.112.0,10.124.112.14,255.255.255.240,,,
10.124.112.0,10.124.112.15,255.255.255.240,,boardcast_ip,
10.124.112.112,10.124.112.112,255.255.255.240,,network_ip,
10.124.112.112,10.124.112.113,255.255.255.240,,gateway,
10.124.112.112,10.124.112.114,255.255.255.240,RAG_XWS201C_9K,used,
10.124.112.112,10.124.112.115,255.255.255.240,RAG_XYBP01C_9K,used,
10.124.112.112,10.124.112.116,255.255.255.240,RAC_CTPKP21C,used,
10.124.112.112,10.124.112.117,255.255.255.240,RAC_BPS2M21C,used,
10.124.112.112,10.124.112.118,255.255.255.240,RAC_CS34M21C,used,
10.124.112.112,10.124.112.119,255.255.255.240,RAC_CS39M21C,used,
10.124.112.112,10.124.112.120,255.255.255.240,RAC_NKCIM21C,used,
10.124.112.112,10.124.112.121,255.255.255.240,RAC_WPTHM21C,used,
10.124.112.112,10.124.112.122,255.255.255.240,RAC_SWPPM21C,used,
10.124.112.112,10.124.112.123,255.255.255.240,RAC_WIT1M21C,used,
10.124.112.112,10.124.112.124,255.255.255.240,,,
10.124.112.112,10.124.112.125,255.255.255.240,,,
10.124.112.112,10.124.112.126,255.255.255.240,,,
10.124.112.112,10.124.112.127,255.255.255.240,,boardcast_ip,
10.124.112.128,10.124.112.128,255.255.255.240,,network_ip,
10.124.112.128,10.124.112.129,255.255.255.240,,gateway,
10.124.112.128,10.124.112.130,255.255.255.240,RAG_XYBY01C_9K,used,
10.124.112.128,10.124.112.131,255.255.255.240,RAG_XYKR01C_9K,used,
10.124.112.128,10.124.112.132,255.255.255.240,RAC_CRTBP22C,used,
10.124.112.128,10.124.112.133,255.255.255.240,RAC_CRTBP21C,used,
10.124.112.128,10.124.112.134,255.255.255.240,RAC_TCM1M21C,used,
10.124.112.128,10.124.112.135,255.255.255.240,RAC_TKT2M21C,used,
10.124.112.128,10.124.112.136,255.255.255.240,RAC_RTTBM21C,used,
10.124.112.128,10.124.112.137,255.255.255.240,RAC_WTPLM21C,used,
10.124.112.128,10.124.112.138,255.255.255.240,RAC_SMA9M21C,used,
10.124.112.128,10.124.112.139,255.255.255.240,RAC_SMA2M21C,used,
