,filename,hostname,vrf_name,description,address_family,import_type,import_id,export_type,export_id
0,10.122.35.124,RAC_MC34M21C,definition Mgmt-intf,,ipv6,,,,
1,10.124.209.148,RAC_BKESM51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
2,10.124.209.148,RAC_BKESM51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
3,10.122.22.244,RAC_MKKSM21C,definition Mgmt-intf,,ipv6,,,,
4,10.122.22.244,RAC_MKKSM21C,definition lte,,ipv4,,,,
5,10.122.24.44,RAC_LB44M21C,definition Mgmt-intf,,ipv6,,,,
6,10.122.24.44,RAC_LB44M21C,definition lte,,ipv4,,,,
7,10.122.26.104,RAC_HAAWM21C,definition Mgmt-intf,,ipv6,,,,
8,10.122.26.104,RAC_HAAWM21C,definition lte,,ipv4,,,,
9,10.122.12.244,RAC_KTNCM21C,definition Mgmt-intf,,ipv6,,,,
10,10.122.12.244,RAC_KTNCM21C,definition lte,,ipv4,,,,
11,10.124.216.89,RAC_PRS2M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
12,10.124.216.89,RAC_PRS2M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
13,10.122.67.87,RAC_ST45M21C,definition Mgmt-intf,,ipv6,,,,
14,10.122.21.105,RAC_R245M21C,definition Mgmt-intf,,ipv6,,,,
15,10.122.21.105,RAC_R245M21C,definition lte,,ipv4,,,,
16,10.122.44.13,RAC_FS4VM21C,definition Mgmt-intf,,ipv6,,,,
17,10.122.44.13,RAC_FS4VM21C,definition lte,,ipv4,,,,
18,10.122.18.164,RAC_RPR8M21C,definition Mgmt-intf,,ipv6,,,,
19,10.122.18.164,RAC_RPR8M21C,definition lte,,ipv4,,,,
20,10.124.209.157,RAC_CHVLM51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
21,10.124.209.157,RAC_CHVLM51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
22,10.122.11.253,RAC_LTRSP21C,definition Mgmt-intf,,ipv6,,,,
23,10.124.209.194,RAC_MPS2M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
24,10.124.209.194,RAC_MPS2M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
25,10.122.41.20,RAC_STSYM21C,definition Mgmt-intf,,ipv6,,,,
26,10.122.41.20,RAC_STSYM21C,definition lte,,ipv4,,,,
27,10.122.23.36,RAC_ASPBM21C,definition Mgmt-intf,,ipv6,,,,
28,10.122.23.36,RAC_ASPBM21C,definition lte,,ipv4,,,,
29,10.124.210.93,RAC_P316M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
30,10.124.210.93,RAC_P316M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
31,10.122.15.244,RAC_SNRMM21C,definition Mgmt-intf,,ipv6,,,,
32,10.122.15.244,RAC_SNRMM21C,definition lte,,ipv4,,,,
33,10.122.27.106,RAC_MNCKM21C,definition Mgmt-intf,,ipv6,,,,
34,10.122.27.106,RAC_MNCKM21C,definition lte,,ipv4,,,,
35,10.122.30.156,RAC_AVNHP21C,definition Mgmt-intf,,ipv6,,,,
36,10.122.21.245,RAC_A253P21C,definition Mgmt-intf,,ipv6,,,,
37,10.122.22.41,RAC_MNSCM21C,definition Mgmt-intf,,ipv6,,,,
38,10.122.22.41,RAC_MNSCM21C,definition lte,,ipv4,,,,
39,10.124.209.104,RAC_WKBNM51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
40,10.124.209.104,RAC_WKBNM51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
41,10.125.198.4,RAC_NALGM21C,definition Mgmt-intf,,ipv6,,,,
42,10.125.198.4,RAC_NALGM21C,definition lte,,ipv4,,,,
43,10.124.210.74,RAC_PPPVM51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
44,10.124.210.74,RAC_PPPVM51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
45,10.122.12.219,RAC_SGLAP21C,definition Mgmt-intf,,ipv6,,,,
46,10.122.12.253,RAC_RKO6M21C,definition Mgmt-intf,,ipv6,,,,
