region,chain_name,chain_id,node_type,node_name,top_interface,top_interface_description,top_ip,bot_interface,bot_interface_description,bot_ip,chain_type,upe1,upe2
BKK,C205,1,Aggegrate,RAG_XYBK01C_9K,,,,HundredGigE0/5/0/7,C205_RAG_XYBK01C_UPE1-RAC_CTG1M51C_all_wan_down,10.64.89.128,Full-Chain,RAG_XYBK01C_9K,RAG_XPRV01C_9K
BKK,C205,1,Access,RAC_CTG1M51C,HundredGigE0/0/1/0,C205_RAC_CTG1M51C-RAG_XYBK01C_UPE1,10.64.89.129,HundredGigE0/0/1/1,C205_RAC_CTG1M51C-RAC_SPATM51C,10.64.89.130,Full-Chain,RAG_XYBK01C_9K,RAG_XPRV01C_9K
BKK,C205,1,Access,RAC_SPATM51C,HundredGigE0/0/1/0,C205_RAC_SPATM51C-RAC_CTG1M51C,10.64.89.131,HundredGigE0/0/1/1,C205_RAC_SPATM51C-RAC_PS31M51C,10.64.89.132,Full-Chain,RAG_XYBK01C_9K,RAG_XPRV01C_9K
BKK,C205,1,Access,RAC_PS31M51C,HundredGigE0/0/1/0,C205_RAC_PS31M51C-RAC_SPATM51C,10.64.89.133,HundredGigE0/0/1/1,C205_RAC_PS31M51C-RAC_SCK2P51C,10.64.89.134,Full-Chain,RAG_XYBK01C_9K,RAG_XPRV01C_9K
BKK,C205,1,Access,RAC_SCK2P51C,HundredGigE0/0/1/0,C205_RAC_SCK2P51C-RAC_PS31M51C,10.64.89.135,HundredGigE0/0/1/1,C205_RAC_SCK2P51C-RAC_SCK1P51C,10.64.89.136,Full-Chain,RAG_XYBK01C_9K,RAG_XPRV01C_9K
BKK,C205,1,Access,RAC_SCK1P51C,HundredGigE0/0/1/0,C205_RAC_SCK1P51C-RAC_SCK2P51C,10.64.89.137,HundredGigE0/0/1/1,C205_RAC_SCK1P51C-RAC_P623M51C,10.64.89.138,Full-Chain,RAG_XYBK01C_9K,RAG_XPRV01C_9K
BKK,C205,1,Access,RAC_P623M51C,HundredGigE0/0/1/0,C205_RAC_P623M51C-RAC_SCK1P51C,10.64.89.139,HundredGigE0/0/1/1,C205_RAC_P623M51C-RAC_LTBKP51C,10.64.89.140,Full-Chain,RAG_XYBK01C_9K,RAG_XPRV01C_9K
BKK,C205,1,Access,RAC_LTBKP51C,HundredGigE0/0/1/0,C205_RAC_LTBKP51C-RAC_P623M51C,10.64.89.141,HundredGigE0/0/1/1,C205_RAC_LTBKP51C-RAC_BKE3M51C,10.64.89.142,Full-Chain,RAG_XYBK01C_9K,RAG_XPRV01C_9K
BKK,C205,1,Access,RAC_BKE3M51C,HundredGigE0/0/1/0,C205_RAC_BKE3M51C-RAC_LTBKP51C,10.64.89.143,HundredGigE0/0/1/1,C205_RAC_BKE3M51C-RAC_BKESM51C,10.64.89.144,Full-Chain,RAG_XYBK01C_9K,RAG_XPRV01C_9K
BKK,C205,1,Access,RAC_BKESM51C,HundredGigE0/0/1/0,C205_RAC_BKESM51C-RAC_BKE3M51C,10.64.89.145,HundredGigE0/0/1/1,C205_RAC_BKESM51C-RAC_KRBKP51C,10.64.89.146,Full-Chain,RAG_XYBK01C_9K,RAG_XPRV01C_9K
